<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.12.10	15:51:00	2678.36	2679.1	2678.06	2679.0	0.0	0.0	25
2024.12.10	15:52:00	2679.02	2680.05	2678.96	2679.95	0.0	0.0	25
2024.12.10	15:53:00	2679.95	2680.15	2679.27	2679.84	0.0	0.0	25
2024.12.10	15:54:00	2679.84	2680.37	2679.51	2679.78	0.0	0.0	25
2024.12.10	15:55:00	2679.78	2680.35	2679.4	2680.22	0.0	0.0	25
2024.12.10	15:56:00	2680.18	2681.84	2679.9	2681.0	0.0	0.0	25
2024.12.10	15:57:00	2681.03	2682.05	2680.98	2681.56	0.0	0.0	25
2024.12.10	15:58:00	2681.63	2681.65	2679.79	2680.46	0.0	0.0	25
2024.12.10	15:59:00	2680.46	2680.75	2680.05	2680.45	0.0	0.0	25
2024.12.10	16:00:00	2680.46	2681.84	2680.46	2681.65	0.0	0.0	25
2024.12.10	16:01:00	2681.65	2681.85	2681.05	2681.45	0.0	0.0	25
2024.12.10	16:02:00	2681.38	2681.52	2680.28	2680.28	0.0	0.0	25
2024.12.10	16:03:00	2680.28	2680.46	2679.55	2680.2	0.0	0.0	25
2024.12.10	16:04:00	2680.21	2681.38	2680.21	2681.16	0.0	0.0	25
2024.12.10	16:05:00	2681.16	2682.24	2680.98	2682.0	0.0	0.0	25
2024.12.10	16:06:00	2681.99	2682.4	2681.8	2681.9	0.0	0.0	25
2024.12.10	16:07:00	2681.92	2681.98	2680.71	2681.64	0.0	0.0	25
2024.12.10	16:08:00	2681.64	2681.73	2680.7	2681.34	0.0	0.0	25
2024.12.10	16:09:00	2681.32	2681.36	2680.05	2680.2	0.0	0.0	25
2024.12.10	16:10:00	2680.21	2681.16	2680.06	2680.92	0.0	0.0	25
2024.12.10	16:11:00	2680.92	2680.94	2680.18	2680.49	0.0	0.0	25
2024.12.10	16:12:00	2680.56	2682.55	2680.56	2681.6	0.0	0.0	25
2024.12.10	16:13:00	2681.6	2682.16	2680.98	2681.94	0.0	0.0	25
2024.12.10	16:14:00	2681.92	2682.4	2681.31	2682.3	0.0	0.0	25
2024.12.10	16:15:00	2682.3	2682.9	2681.22	2681.33	0.0	0.0	25
2024.12.10	16:16:00	2681.3	2682.71	2681.12	2682.32	0.0	0.0	25
2024.12.10	16:17:00	2682.34	2682.66	2681.92	2682.66	0.0	0.0	25
2024.12.10	16:18:00	2682.66	2683.24	2682.66	2682.82	0.0	0.0	25
2024.12.10	16:19:00	2682.78	2683.83	2682.72	2683.73	0.0	0.0	25
2024.12.10	16:20:00	2683.73	2683.88	2683.24	2683.56	0.0	0.0	25
2024.12.10	16:21:00	2683.64	2683.75	2682.9	2683.26	0.0	0.0	25
2024.12.10	16:22:00	2683.24	2684.0	2683.2	2683.9	0.0	0.0	25
2024.12.10	16:23:00	2683.82	2684.54	2683.64	2684.26	0.0	0.0	25
2024.12.10	16:24:00	2684.3	2684.4	2683.32	2683.94	0.0	0.0	25
2024.12.10	16:25:00	2683.94	2684.98	2683.84	2684.73	0.0	0.0	25
2024.12.10	16:26:00	2684.71	2685.36	2684.24	2685.29	0.0	0.0	25
2024.12.10	16:27:00	2685.31	2685.5	2684.32	2684.75	0.0	0.0	25
2024.12.10	16:28:00	2684.74	2685.02	2683.28	2683.66	0.0	0.0	25
2024.12.10	16:29:00	2683.66	2685.25	2683.6	2685.14	0.0	0.0	25
2024.12.10	16:30:00	2685.14	2686.34	2684.74	2685.76	0.0	0.0	25
2024.12.10	16:31:00	2685.75	2686.56	2685.54	2686.46	0.0	0.0	25
2024.12.10	16:32:00	2686.46	2688.02	2686.46	2687.21	0.0	0.0	25
2024.12.10	16:33:00	2687.26	2688.26	2687.16	2687.52	0.0	0.0	25
2024.12.10	16:34:00	2687.52	2688.16	2687.02	2688.16	0.0	0.0	25
2024.12.10	16:35:00	2688.18	2688.48	2687.02	2687.06	0.0	0.0	25
2024.12.10	16:36:00	2687.1	2687.16	2686.28	2686.66	0.0	0.0	25
2024.12.10	16:37:00	2686.64	2688.18	2686.26	2687.98	0.0	0.0	25
2024.12.10	16:38:00	2687.9	2688.23	2687.64	2687.88	0.0	0.0	25
2024.12.10	16:39:00	2687.92	2688.14	2687.5	2688.0	0.0	0.0	25
2024.12.10	16:40:00	2687.98	2688.92	2687.86	2688.56	0.0	0.0	25
2024.12.10	16:41:00	2688.58	2689.66	2688.58	2689.29	0.0	0.0	25
2024.12.10	16:42:00	2689.29	2689.88	2688.9	2689.26	0.0	0.0	25
2024.12.10	16:43:00	2689.26	2689.56	2688.76	2689.41	0.0	0.0	25
2024.12.10	16:44:00	2689.41	2689.85	2688.98	2689.4	0.0	0.0	25
2024.12.10	16:45:00	2689.48	2690.44	2688.48	2688.77	0.0	0.0	25
2024.12.10	16:46:00	2688.77	2689.85	2688.75	2689.25	0.0	0.0	25
2024.12.10	16:47:00	2689.24	2689.75	2688.07	2688.41	0.0	0.0	25
2024.12.10	16:48:00	2688.36	2689.67	2688.18	2689.55	0.0	0.0	25
2024.12.10	16:49:00	2689.7	2690.15	2689.24	2689.58	0.0	0.0	25
2024.12.10	16:50:00	2689.61	2690.25	2689.29	2690.0	0.0	0.0	25
2024.12.10	16:51:00	2689.98	2690.21	2689.01	2689.79	0.0	0.0	25
2024.12.10	16:52:00	2689.79	2689.88	2688.77	2689.62	0.0	0.0	25
2024.12.10	16:53:00	2689.62	2690.3	2689.34	2690.25	0.0	0.0	25
2024.12.10	16:54:00	2690.24	2691.16	2690.1	2691.14	0.0	0.0	25
2024.12.10	16:55:00	2691.14	2691.83	2690.41	2691.48	0.0	0.0	25
