rank,candidate_id,phase,signal_name,strategy_name,score,tick_pnl,max_drawdown_pct,win_rate_pct,profit_factor,max_consecutive_losing_signals,max_daily_loss,loss_count,worst_single_signal_loss,wins,losses,flats,generated_signals,tick_covered_signals,tick_coverage_pct,no_tick_signals,no_fill_signals,max_loss_signal,passes_dd25_gate,passes_dd40_gate,error
130,910887c5ce7def2f,june,base_c160_all,e6_s21_m120_tp2_fastlock,-131787.04,-4619.31,69.36,41.49,0.979,20,11613.48,533,502.74,378,533,412,1747,1323,75.73,424,412,-502.74,False,False,
131,202e6dce0e21b1d5,june,base_c160_london_ny,e4_scaleout_low_dd,-132019.26,-21246.9,64.28,43.39,0.859,17,10367.64,364,513.36,279,364,308,1258,951,75.6,307,308,-513.36,False,False,
132,872ba73b9b412a44,june,base_c160_ny_core,e7_s20_m180_tp3_hold,-133086.97,-17251.52,65.6,31.34,0.856,18,11840.01,287,496.86,131,287,183,788,601,76.27,187,183,-496.86,False,False,
133,6ca08cb5188a502a,june,base_c160_london_ny,e6_scaleout_bep,-151502.24,-23624.55,71.52,33.9,0.866,17,11131.26,425,502.74,218,425,318,1258,961,76.39,297,318,-502.74,False,False,
134,c74a64748fce50e8,june,base_c160_london_ny,e6_s21_m150_bep,-151502.24,-23624.55,71.52,33.9,0.866,17,11131.26,425,502.74,218,425,318,1258,961,76.39,297,318,-502.74,False,False,
135,5db03f24f8a85513,june,base_c160_ny_core,e6_scaleout_bep,-152323.49,-22210.35,74.7,32.3,0.81,17,10113.78,283,497.16,135,283,174,788,592,75.13,196,174,-497.16,False,False,
136,55123f3980183cdb,june,base_c160_ny_core,e6_s21_m150_bep,-152323.49,-22210.35,74.7,32.3,0.81,17,10113.78,283,497.16,135,283,174,788,592,75.13,196,174,-497.16,False,False,
137,1aaee048de83fafd,june,base_c160_london_ny,e6_s21_m120_tp2_fastlock,-153402.04,-29545.59,70.54,37.64,0.819,20,9713.34,401,502.74,242,401,311,1258,954,75.83,304,311,-502.74,False,False,
138,33dec98e9e0b84b9,june,base_c160_all,tsl18_base,-155402.2,9072.12,84.6,33.92,1.036,17,15035.2,602,519.04,309,602,419,1747,1330,76.13,417,419,-519.04,False,False,
139,d5cfa7eab89a15f4,june,base_c160_london_ny,e6_gap05_s18_tp2,-159031.78,-26943.46,72.38,34.8,0.851,20,11867.94,414,497.28,221,414,319,1258,954,75.83,304,319,-497.28,False,False,
140,d378d56e9e11afca,june,base_c160_all,e6_gap05_s18_tp2,-159106.49,222.99,84.9,38.1,1.001,20,11929.02,559,497.28,344,559,420,1747,1323,75.73,424,420,-497.28,False,False,
141,6c475e68c967bbd8,june,base_c160_all,e7_s20_m180_tp3_hold,-162728.22,-2339.06,81.05,34.8,0.991,20,16011.94,594,498.96,317,594,431,1747,1342,76.82,405,431,-498.96,False,False,
142,6fb9f7f29ada1c42,june,base_c160_london_ny,e7_s20_m180_tp3_hold,-179584.43,-27682.49,81.02,32.5,0.849,20,12961.13,434,498.96,209,434,328,1258,971,77.19,287,328,-498.96,False,False,
143,9e122a1b74a50a40,june,base_c160_ny_core,tsl18_base,-181068.56,-24254.96,87.48,29.43,0.804,17,10567.92,295,484.32,123,295,174,788,592,75.13,196,174,-484.32,False,False,
144,5f830f24d4667c18,june,base_c160_london_ny,tsl18_base,-213541.44,-31254.72,97.34,30.64,0.834,17,12318.4,446,519.04,197,446,318,1258,961,76.39,297,318,-519.04,False,False,
