cell,strategy,entries,sl_multiplier,trailing_open,trailing_close,trail_after_stage,final_target,max_hold,activation_delay,est_jan_edge,tick_oos,est_jan_oos,est_jan_dd,pass_dd40,pass_dd50,f_edge,f_dd,tickmay_edge,tickmay_dd,tickmay_net,m1may_edge,m1may_dd,m1may_net,m1_jan_edge,m1_jan_oos,m1_jan_dd,m1_jan_net,jan_signals
tcal_e8_slm18_to07_tc05_mh300_ad0,TC18,8,1.8,0.7,0.5,,,300,0,82658.29,-2247.05,5021.75,52.46,False,False,0.2844,1.0,22444.49,29.69,948031.07,78929.91,29.69,620492795.62,290640.97,17657.36,52.46,1.174602330450139e+18,10140
tcal_e8_slm18_to07_tc075_mh240_ad1,TC18,8,1.8,0.7,0.75,,,240,1,81780.58,249.51,5410.62,47.84,False,True,0.3448,0.9786,21815.8,30.64,641368.48,63264.46,31.31,118675365.72,237182.67,15692.04,48.89,7628461946560213.0,10140
tcal_e7_slm16_to05_tc05_mh300_ad0,TC18,7,1.6,0.5,0.5,,,300,0,81622.01,-1493.61,4694.08,54.36,False,False,0.3125,1.0021,22135.01,33.85,1869463.68,70822.61,33.78,2725890912.31,261190.43,15021.07,54.25,1.7321668635547556e+20,10140
tcal_e8_slm18_to07_tc075_mh300_ad0,TC18,8,1.8,0.7,0.75,,,300,0,81311.01,-2247.05,4915.25,52.92,False,False,0.2844,1.0033,22007.65,30.0,883219.46,77386.82,29.9,495068191.24,285903.68,17282.86,52.75,6.40996410886795e+17,10140
tcal_e7_slm17_to05_tc05_mh300_ad0,TC18,7,1.7,0.5,0.5,,,300,0,81268.97,-2042.74,4704.92,54.47,False,False,0.3069,1.0,22167.34,30.97,1582800.54,72231.28,30.97,1816656063.18,264806.04,15330.47,54.47,3.8975655615141044e+19,10140
tcal_e7_slm16_to05_tc075_mh300_ad0,TC18,7,1.6,0.5,0.75,,,300,0,80488.49,-1493.61,4604.17,54.73,False,False,0.313,0.9991,21759.42,33.88,1755813.65,69516.97,33.91,2157525890.36,257151.73,14709.82,54.78,9.016301514686942e+19,10140
tcal_e7_slm18_to05_tc05_mh300_ad0,TC18,7,1.8,0.5,0.5,,,300,0,80161.75,-1919.59,4832.01,53.01,False,False,0.2968,1.0017,21539.3,29.7,1208652.81,72570.98,29.65,1082501807.45,270086.75,16280.37,52.92,1.0673200485636741e+19,10140
tcal_e7_slm17_to05_tc075_mh300_ad0,TC18,7,1.7,0.5,0.75,,,300,0,80101.77,-2042.74,4611.95,55.04,False,False,0.3073,1.0045,21782.0,31.1,1480626.58,70885.14,30.96,1453319613.61,260663.09,15007.97,54.79,2.01361712582758e+19,10140
tcal_e7_slm18_to05_tc075_mh300_ad0,TC18,7,1.8,0.5,0.75,,,300,0,78953.08,-1919.59,4735.85,53.1,False,False,0.297,0.999,21146.71,29.87,1143646.08,71191.84,29.9,872981041.59,265835.3,15945.62,53.15,5.760167333953467e+18,10140
tcal_e8_slm16_to05_tc05_mh300_ad2,TC18,8,1.6,0.5,0.5,,,300,2,78566.79,-1710.75,4612.96,57.47,False,False,0.3108,1.0012,21396.94,33.89,1118463.58,68842.71,33.85,547733076.32,252788.9,14842.21,57.4,1.1138506002239919e+18,10140
tcal_e7_slm16_to07_tc05_mh300_ad0,TC18,7,1.6,0.7,0.5,,,300,0,78119.81,-1409.45,4487.81,56.68,False,False,0.3185,0.9989,21085.16,35.22,1565885.66,66203.43,35.26,1148045960.82,245274.14,14090.46,56.74,1.2366863390187928e+19,10140
tcal_e8_slm17_to05_tc05_mh300_ad2,TC18,8,1.7,0.5,0.5,,,300,2,77630.7,-2580.24,4626.01,58.81,False,False,0.2986,1.0047,21433.94,29.86,987193.95,71776.12,29.72,488554364.34,259982.26,15492.33,58.53,4.6582143164096186e+17,10140
tcal_e8_slm16_to05_tc075_mh300_ad2,TC18,8,1.6,0.5,0.75,,,300,2,77301.41,-1710.75,4512.23,57.52,False,False,0.3112,0.9979,20982.92,33.78,1062072.99,67416.13,33.85,447104138.99,248397.84,14499.46,57.64,5.869046965726019e+17,10140
tcal_e8_slm18_to05_tc05_mh300_ad2,TC18,8,1.8,0.5,0.5,,,300,2,77021.18,-2430.41,4704.32,57.75,False,False,0.2911,1.0074,20945.52,28.5,794202.88,71949.47,28.29,309851853.0,264586.68,16160.49,57.33,1.4247108251320406e+17,10140
tcal_e7_slm16_to07_tc075_mh300_ad0,TC18,7,1.6,0.7,0.75,,,300,0,77012.16,-1409.45,4398.54,57.1,False,False,0.3191,0.9997,20721.57,35.34,1478655.86,64936.0,35.35,917306628.66,241341.76,13784.21,57.12,6.497124926923506e+18,10140
tcal_e8_slm17_to05_tc075_mh300_ad2,TC18,8,1.7,0.5,0.75,,,300,2,76332.48,-2580.24,4522.88,58.75,False,False,0.2988,1.0017,21006.92,29.84,933107.45,70297.54,29.79,390551887.78,255463.45,15136.83,58.65,2.550379574036114e+17,10140
tcal_e8_slm17_to05_tc05_mh300_ad1,TC18,8,1.7,0.5,0.5,,,300,1,76116.69,-2582.88,4590.73,58.68,False,False,0.2961,0.9873,21215.15,29.49,994414.09,71659.18,29.87,492113539.76,257064.14,15503.99,59.43,3.6388908310673626e+17,10140
