cell,strategy,entries,sl_multiplier,trailing_open,trailing_close,max_hold,activation_delay,jan_net,jan_dd,jan_edge,jan_oos,jan_signals,pass_dd40,pass_dd50
tcal_e8_slm18_to07_tc05_mh90_ad0,TC18,8,1.8,0.7,0.5,90,0,968055630452807.8,26.8,217352.3,11785.51,10140,True,True
tcal_e7_slm17_to07_tc05_mh150_ad0,TC18,7,1.7,0.7,0.5,150,0,9.042563610214422e+16,40.75,216820.42,12351.83,10140,False,True
tcal_e7_slm16_to07_tc05_mh150_ad0,TC18,7,1.6,0.7,0.5,150,0,4.417925502538849e+17,41.15,216228.2,12275.9,10140,False,True
tcal_e7_slm16_to05_tc05_mh240_ad1,TC18,7,1.6,0.5,0.5,240,1,7.590888697161116e+17,46.07,216044.74,12798.41,10140,False,True
tcal_e7_slm16_to05_tc075_mh240_ad2,TC18,7,1.6,0.5,0.75,240,2,5.7250365153023296e+17,45.22,215388.87,12621.67,10140,False,True
tcal_e8_slm16_to05_tc075_mh150_ad1,TC18,8,1.6,0.5,0.75,150,1,2.256445853571824e+16,38.86,215375.95,12679.31,10140,True,True
tcal_e7_slm16_to05_tc075_mh300_ad1,TC18,7,1.6,0.5,0.75,300,1,4.8348470935730714e+17,58.07,215293.06,12320.64,10140,False,False
tcal_e7_slm18_to07_tc05_mh300_ad1,TC18,7,1.8,0.7,0.5,300,1,1.6021460520967796e+16,58.31,215057.4,13542.09,10140,False,False
tcal_e8_slm18_to07_tc075_mh90_ad0,TC18,8,1.8,0.7,0.75,90,0,692738540800141.5,26.87,214942.27,11621.76,10140,True,True
tcal_e8_slm18_to07_tc05_mh150_ad2,TC18,8,1.8,0.7,0.5,150,2,984958765497946.2,40.29,214693.06,13198.47,10140,False,True
tcal_e7_slm18_to07_tc05_mh240_ad2,TC18,7,1.8,0.7,0.5,240,2,1.6085425624109462e+16,48.68,214163.63,13878.32,10140,False,True
tcal_e7_slm18_to07_tc075_mh300_ad2,TC18,7,1.8,0.7,0.75,300,2,1.1315601713614086e+16,57.9,213866.11,13193.02,10140,False,False
tcal_e7_slm17_to07_tc075_mh150_ad0,TC18,7,1.7,0.7,0.75,150,0,5.664737329626991e+16,40.98,213684.62,12112.83,10140,False,True
tcal_e8_slm17_to07_tc05_mh90_ad0,TC18,8,1.7,0.7,0.5,90,0,2113066138647272.2,27.57,213286.13,11210.85,10140,True,True
tcal_e7_slm16_to07_tc075_mh150_ad0,TC18,7,1.6,0.7,0.75,150,0,2.633701912469216e+17,41.76,213151.4,12042.65,10140,False,True
tcal_e8_slm16_to07_tc05_mh90_ad0,TC18,8,1.6,0.7,0.5,90,0,8308076861871043.0,28.63,212729.11,11132.48,10140,True,True
