cell,strategy,entries,trailing_open,trailing_close,trail_after_stage,sl_multiplier,final_target,activation_delay,max_hold,jan_net,jan_dd,jan_edge,jan_oos,jan_signals,pass_dd40,pass_dd50
vcal_e7_to05_tc05_s1_slm17_TP3_ad2_mh150,VIC,7,0.5,0.5,1,1.7,TP3,2,150,4435548.06,11.72,41393.58,2670.84,1319,True,True
vcal_e8_to05_tc15_s1_slm17_TP2_ad1_mh300,VIC,8,0.5,1.5,1,1.7,TP2,1,300,2301030.63,11.91,41266.5,2788.47,1319,True,True
vcal_e7_to05_tc05_s1_slm17_TP3_ad1_mh150,VIC,7,0.5,0.5,1,1.7,TP3,1,150,4461106.57,11.7,41210.87,2650.15,1319,True,True
vcal_e8_to05_tc15_s1_slm17_TP2_ad0_mh150,VIC,8,0.5,1.5,1,1.7,TP2,0,150,2322363.88,11.86,41183.85,2804.1,1319,True,True
vcal_e8_to05_tc05_s1_slm15_TP2_ad0_mh150,VIC,8,0.5,0.5,1,1.5,TP2,0,150,3955596.55,11.65,41163.98,2946.19,1319,True,True
vcal_e8_to05_tc05_s1_slm15_TP2_ad2_mh150,VIC,8,0.5,0.5,1,1.5,TP2,2,150,3902897.34,11.66,41154.74,2911.45,1319,True,True
vcal_e8_to05_tc15_s1_slm17_TP2_ad2_mh150,VIC,8,0.5,1.5,1,1.7,TP2,2,150,2303042.68,11.83,41103.87,2770.26,1319,True,True
vcal_e8_to05_tc05_s1_slm15_TP2_ad1_mh150,VIC,8,0.5,0.5,1,1.5,TP2,1,150,3844188.59,11.66,40886.48,2892.88,1319,True,True
vcal_e8_to05_tc15_s1_slm17_TP2_ad1_mh150,VIC,8,0.5,1.5,1,1.7,TP2,1,150,2280412.01,11.85,40822.32,2748.21,1319,True,True
vcal_e7_to05_tc05_s1_slm15_TP3_ad0_mh240,VIC,7,0.5,0.5,1,1.5,TP3,0,240,7526750.23,11.56,40779.75,2773.8,1319,True,True
vcal_e7_to05_tc05_s1_slm15_TP3_ad0_mh300,VIC,7,0.5,0.5,1,1.5,TP3,0,300,7330870.65,11.54,40726.93,2775.4,1319,True,True
vcal_e7_to05_tc05_s1_slm15_TP3_ad2_mh240,VIC,7,0.5,0.5,1,1.5,TP3,2,240,7309676.02,11.55,40660.2,2660.67,1319,True,True
vcal_e7_to05_tc05_s1_slm15_TP3_ad1_mh240,VIC,7,0.5,0.5,1,1.5,TP3,1,240,7343295.02,11.57,40503.79,2646.53,1319,True,True
vcal_e8_to05_tc05_s1_slm17_TP2_ad0_mh90,VIC,8,0.5,0.5,1,1.7,TP2,0,90,2270470.24,11.52,40489.87,2898.69,1319,True,True
vcal_e8_to05_tc15_s1_slm15_TP3_ad0_mh90,VIC,8,0.5,1.5,1,1.5,TP3,0,90,3897080.12,11.53,40487.43,2731.36,1319,True,True
vcal_e7_to05_tc05_s1_slm15_TP3_ad2_mh300,VIC,7,0.5,0.5,1,1.5,TP3,2,300,7011982.84,11.55,40458.51,2662.27,1319,True,True
vcal_e7_to05_tc05_s1_slm15_TP3_ad1_mh300,VIC,7,0.5,0.5,1,1.5,TP3,1,300,7055863.17,11.55,40372.46,2648.13,1319,True,True
vcal_e8_to05_tc05_s1_slm17_TP2_ad2_mh90,VIC,8,0.5,0.5,1,1.7,TP2,2,90,2225814.69,11.55,40249.51,2816.47,1319,True,True
vcal_e8_to05_tc05_s1_slm17_TP2_ad1_mh90,VIC,8,0.5,0.5,1,1.7,TP2,1,90,2215470.16,11.49,40135.16,2796.58,1319,True,True
vcal_e8_to05_tc15_s1_slm15_TP2_ad0_mh240,VIC,8,0.5,1.5,1,1.5,TP2,0,240,3452977.8,11.73,40084.8,2858.94,1319,True,True
vcal_e8_to05_tc15_s1_slm15_TP3_ad1_mh90,VIC,8,0.5,1.5,1,1.5,TP3,1,90,3747280.95,11.51,40067.17,2637.25,1319,True,True
vcal_e8_to05_tc15_s1_slm15_TP3_ad2_mh90,VIC,8,0.5,1.5,1,1.5,TP3,2,90,3688754.17,11.58,40024.53,2657.14,1319,True,True
vcal_e8_to05_tc15_s1_slm15_TP2_ad2_mh240,VIC,8,0.5,1.5,1,1.5,TP2,2,240,3363378.44,11.72,39945.59,2738.16,1319,True,True
vcal_e7_to05_tc15_s1_slm17_TP3_ad0_mh240,VIC,7,0.5,1.5,1,1.7,TP3,0,240,3754728.55,11.8,39926.69,2645.39,1319,True,True
vcal_e7_to05_tc15_s1_slm17_TP3_ad2_mh240,VIC,7,0.5,1.5,1,1.7,TP3,2,240,3669657.44,11.8,39872.36,2538.26,1319,True,True
vcal_e7_to05_tc15_s1_slm17_TP3_ad0_mh300,VIC,7,0.5,1.5,1,1.7,TP3,0,300,3623209.06,11.78,39804.23,2664.55,1319,True,True
vcal_e8_to05_tc05_s1_slm17_TP3_ad0_mh60,VIC,8,0.5,0.5,1,1.7,TP3,0,60,2082568.92,11.32,39793.96,2411.07,1319,True,True
vcal_e8_to05_tc15_s1_slm15_TP2_ad0_mh300,VIC,8,0.5,1.5,1,1.5,TP2,0,300,3240656.61,11.74,39792.48,2860.54,1319,True,True
vcal_e7_to05_tc05_s1_slm15_TP3_ad0_mh150,VIC,7,0.5,0.5,1,1.5,TP3,0,150,6749621.86,11.57,39698.47,2668.02,1319,True,True
vcal_e8_to05_tc05_s1_slm17_TP3_ad2_mh60,VIC,8,0.5,0.5,1,1.7,TP3,2,60,2028089.03,11.32,39697.26,2275.6,1319,True,True
vcal_e8_to05_tc15_s1_slm15_TP2_ad1_mh240,VIC,8,0.5,1.5,1,1.5,TP2,1,240,3326052.95,11.73,39696.59,2723.24,1319,True,True
vcal_e7_to05_tc15_s1_slm17_TP3_ad1_mh240,VIC,7,0.5,1.5,1,1.7,TP3,1,240,3648625.68,11.79,39660.23,2524.12,1319,True,True
vcal_e7_to05_tc15_s1_slm17_TP3_ad2_mh300,VIC,7,0.5,1.5,1,1.7,TP3,2,300,3511242.76,11.79,39604.13,2557.42,1319,True,True
vcal_e8_to05_tc15_s1_slm15_TP2_ad2_mh300,VIC,8,0.5,1.5,1,1.5,TP2,2,300,3200040.81,11.74,39578.65,2739.76,1319,True,True
vcal_e7_to05_tc05_s1_slm15_TP3_ad2_mh150,VIC,7,0.5,0.5,1,1.5,TP3,2,150,6503560.43,11.55,39516.28,2639.26,1319,True,True
vcal_e8_to05_tc05_s1_slm17_TP3_ad1_mh60,VIC,8,0.5,0.5,1,1.7,TP3,1,60,2010706.44,11.31,39459.72,2279.48,1319,True,True
vcal_e7_to05_tc15_s1_slm17_TP3_ad1_mh300,VIC,7,0.5,1.5,1,1.7,TP3,1,300,3516929.18,11.77,39448.12,2543.28,1319,True,True
vcal_e8_to05_tc15_s1_slm15_TP2_ad1_mh300,VIC,8,0.5,1.5,1,1.5,TP2,1,300,3160866.58,11.71,39392.9,2724.84,1319,True,True
vcal_e7_to05_tc05_s1_slm15_TP3_ad1_mh150,VIC,7,0.5,0.5,1,1.5,TP3,1,150,6500023.28,11.54,39347.2,2622.05,1319,True,True
vcal_e8_to05_tc15_s1_slm15_TP2_ad0_mh150,VIC,8,0.5,1.5,1,1.5,TP2,0,150,3180315.69,11.73,39220.29,2770.19,1319,True,True
vcal_e8_to05_tc15_s1_slm15_TP2_ad2_mh150,VIC,8,0.5,1.5,1,1.5,TP2,2,150,3122078.62,11.71,39171.74,2735.45,1319,True,True
vcal_e7_to05_tc05_s1_slm17_TP3_ad0_mh90,VIC,7,0.5,0.5,1,1.7,TP3,0,90,3599484.61,11.5,39128.07,2554.07,1319,True,True
vcal_e7_to05_tc15_s1_slm17_TP3_ad0_mh150,VIC,7,0.5,1.5,1,1.7,TP3,0,150,3384585.03,11.8,38948.98,2510.21,1319,True,True
vcal_e8_to05_tc15_s1_slm15_TP2_ad1_mh150,VIC,8,0.5,1.5,1,1.5,TP2,1,150,3083989.45,11.74,38929.95,2716.88,1319,True,True
vcal_e8_to05_tc05_s1_slm15_TP2_ad0_mh90,VIC,8,0.5,0.5,1,1.5,TP2,0,90,3219816.4,11.45,38877.36,2869.89,1319,True,True
vcal_e7_to05_tc05_s1_slm17_TP3_ad2_mh90,VIC,7,0.5,0.5,1,1.7,TP3,2,90,3488123.34,11.53,38805.37,2483.48,1319,True,True
vcal_e7_to05_tc05_s1_slm17_TP3_ad1_mh90,VIC,7,0.5,0.5,1,1.7,TP3,1,90,3493406.43,11.52,38755.69,2464.82,1319,True,True
vcal_e8_to05_tc15_s1_slm17_TP2_ad0_mh90,VIC,8,0.5,1.5,1,1.7,TP2,0,90,1913043.38,11.58,38737.18,2740.69,1319,True,True
vcal_e7_to05_tc15_s1_slm17_TP3_ad2_mh150,VIC,7,0.5,1.5,1,1.7,TP3,2,150,3320970.05,11.76,38736.12,2482.35,1319,True,True
vcal_e7_to05_tc05_s1_slm17_TP2_ad2_mh240,VIC,7,0.5,0.5,1,1.7,TP2,2,240,3200636.85,11.68,38731.02,2576.92,1319,True,True
vcal_e7_to05_tc05_s1_slm17_TP2_ad0_mh240,VIC,7,0.5,0.5,1,1.7,TP2,0,240,3207285.69,11.68,38708.5,2679.37,1319,True,True
vcal_e8_to05_tc05_s1_slm15_TP2_ad2_mh90,VIC,8,0.5,0.5,1,1.5,TP2,2,90,3121482.96,11.44,38667.95,2787.67,1319,True,True
vcal_e8_to05_tc05_s1_slm15_TP2_ad1_mh90,VIC,8,0.5,0.5,1,1.5,TP2,1,90,3130788.36,11.48,38585.81,2767.78,1319,True,True
vcal_e7_to05_tc15_s1_slm17_TP3_ad1_mh150,VIC,7,0.5,1.5,1,1.7,TP3,1,150,3288052.22,11.79,38563.88,2461.66,1319,True,True
vcal_e7_to05_tc05_s1_slm17_TP2_ad0_mh300,VIC,7,0.5,0.5,1,1.7,TP2,0,300,3081454.76,11.7,38505.05,2698.53,1319,True,True
vcal_e8_to05_tc15_s1_slm17_TP2_ad2_mh90,VIC,8,0.5,1.5,1,1.7,TP2,2,90,1859569.87,11.58,38464.51,2666.47,1319,True,True
vcal_e7_to05_tc05_s1_slm17_TP2_ad2_mh300,VIC,7,0.5,0.5,1,1.7,TP2,2,300,3057666.14,11.7,38439.21,2596.08,1319,True,True
vcal_e8_to05_tc15_s1_slm17_TP2_ad1_mh90,VIC,8,0.5,1.5,1,1.7,TP2,1,90,1870706.12,11.55,38382.63,2646.58,1319,True,True
vcal_e7_to05_tc05_s1_slm17_TP2_ad1_mh240,VIC,7,0.5,0.5,1,1.7,TP2,1,240,3124912.36,11.7,38376.96,2562.78,1319,True,True
vcal_e8_to05_tc05_s1_slm15_TP3_ad0_mh60,VIC,8,0.5,0.5,1,1.5,TP3,0,60,2944001.98,11.26,38232.98,2383.79,1319,True,True
vcal_e7_to05_tc05_s1_slm17_TP2_ad1_mh300,VIC,7,0.5,0.5,1,1.7,TP2,1,300,2994798.87,11.69,38137.48,2581.94,1319,True,True
vcal_e8_to05_tc05_s1_slm15_TP3_ad2_mh60,VIC,8,0.5,0.5,1,1.5,TP3,2,60,2840428.38,11.28,38109.96,2248.32,1319,True,True
