rank,id,tick_net,m1_net,disc_m1_minus_tick,disc_pct,tick_dd_pct,m1_dd_pct,m1_net_nobonus,m1_edge_fixed,m1_closed_lots,m1_winrate,tick_nofill,slm,entries,slgap,maxhold,delay,frac,lock2,final
29,c079,16960.11,25782.360000000088,8822.25,52.0,21.79,17.947304453387318,25431.270000000062,1907.7699999999968,117.03000000000006,68.18181818181817,90,2.5,6,0.5,180,12,0.25,true,TP2
30,c109,16272.67,14394.660000002055,-1878.01,-11.5,29.09,19.21938337738067,13887.33000000204,773.9900000000125,169.10999999999984,62.5,90,1.7,6,0.5,180,0,0.5,false,TP3
31,c059,16232.29,12740.139999999366,-3492.15,-21.5,23.45,17.20542894182066,12306.819999999487,803.6499999999069,144.44000000000005,62.857142857142854,90,1.9,6,0.5,240,0,0.25,false,TP2
32,c135,16116.58,45968.709999999235,29852.13,185.2,25.13,14.248013256566852,45403.89999999924,2188.4999999998545,188.26999999999998,63.63636363636363,90,1.9,6,0.5,180,24,0.75,true,TP3
33,c012,16116.58,45968.709999999235,29852.13,185.2,25.13,14.248013256566852,45403.89999999924,2188.4999999998545,188.26999999999998,63.63636363636363,90,1.9,6,0.5,180,24,0.5,true,TP3
34,c015,16048.72,28724.153333333205,12675.43,79.0,22.87,17.464376770732745,28359.29333333329,2440.3233333332537,121.61999999999999,68.18181818181817,90,2.5,7,0.5,180,24,0.5,false,TP2
35,c087,16048.72,23207.03333333321,7158.31,44.6,22.87,18.344399610147523,22860.893333333304,2048.3933333333043,115.38,67.61363636363636,90,2.5,7,0.5,180,12,0.25,true,TP2
36,c086,16048.72,28724.153333333205,12675.43,79.0,22.87,17.464376770732745,28359.29333333329,2440.3233333332537,121.61999999999999,68.18181818181817,90,2.5,7,0.5,180,24,0.25,false,TP2
37,c062,15741.68,23901.555714286005,8159.88,51.8,21.01,17.4333242082649,23556.34571428584,2469.9071428570023,115.06999999999987,67.61363636363636,90,2.5,8,0.5,180,12,0.75,false,TP2
38,c078,15741.68,23901.555714286005,8159.88,51.8,21.01,17.4333242082649,23556.34571428584,2469.9071428570023,115.06999999999987,67.61363636363636,90,2.5,8,0.5,180,12,0.5,true,TP2
39,c035,15741.68,23901.555714286005,8159.88,51.8,21.01,17.4333242082649,23556.34571428584,2469.9071428570023,115.06999999999987,67.61363636363636,90,2.5,8,0.5,180,12,0.75,true,TP2
40,c033,15529.89,44157.15999999913,28627.27,184.3,22.21,13.524304845073113,43619.88999999911,2125.269999999873,179.08999999999983,63.58381502890174,90,1.9,6,0.5,300,24,0.75,false,TP2
41,c103,15132.49,34928.47999999893,19795.99,130.8,23.46,13.045318112904189,34424.92999999891,2079.286666666616,167.85,64.0,90,1.9,7,0.5,240,12,0.25,true,TP2
42,c051,15132.49,42248.37999999877,27115.89,179.2,23.46,11.840044602888057,41716.65999999881,2406.506666666559,177.24000000000007,64.0,90,1.9,7,0.5,240,24,0.75,true,TP2
43,c130,15132.49,11973.443333332725,-3159.05,-20.9,23.46,16.740186121645998,11546.093333332657,879.2299999999232,142.45000000000002,62.857142857142854,90,1.9,7,0.5,240,0,0.5,true,TP2
44,c149,15110.44,36263.30857142764,21152.87,140.0,22.9,11.921301121674258,35757.77857142771,2453.3428571426193,168.51000000000008,63.42857142857142,90,1.9,8,0.5,240,12,0.75,true,TP2
45,c119,15110.44,43697.89571428494,28587.46,189.2,22.9,11.2922704614112,43163.65571428481,2836.602857142614,178.08000000000007,63.42857142857142,90,1.9,8,0.5,240,24,0.5,true,TP2
46,c144,15105.14,12967.016666668656,-2138.12,-14.2,31.1,17.539300433104774,12465.956666668611,822.8133333334481,167.02000000000007,61.36363636363637,90,1.7,7,0.5,180,0,0.5,true,TP3
47,c023,15076.52,43487.70000000224,28411.18,188.4,31.52,13.349056006861804,42860.88000000224,2511.077142857139,208.9399999999999,63.06818181818182,90,1.7,8,0.5,180,12,0.75,true,TP3
48,c099,15076.52,42256.41857143071,27179.9,180.3,31.52,15.455289281931254,41650.65857143065,2550.757142857132,201.92,62.5,90,1.7,8,0.5,180,12,0.25,false,TP3
49,c120,15076.52,48641.44714285931,33564.93,222.6,31.52,14.751612093223846,48000.85714285929,2813.6871428571176,213.53000000000006,63.06818181818182,90,1.7,8,0.5,180,24,0.25,false,TP3
50,c040,15076.52,42256.41857143071,27179.9,180.3,31.52,15.455289281931254,41650.65857143065,2550.757142857132,201.92,62.5,90,1.7,8,0.5,180,12,0.75,false,TP3
51,c127,14608.89,33829.443333332325,19220.55,131.6,22.51,14.72322583485011,33330.81333333229,2065.166666666635,166.20999999999998,64.16184971098265,90,1.9,7,0.5,300,12,0.5,false,TP2
52,c133,14608.89,41334.05333333214,26725.16,182.9,22.51,13.627560602282662,40808.5133333322,2393.0766666665804,175.18000000000006,64.16184971098265,90,1.9,7,0.5,300,24,0.75,true,TP2
53,c029,14608.89,33829.443333332325,19220.55,131.6,22.51,14.72322583485011,33330.81333333229,2065.166666666635,166.20999999999998,64.16184971098265,90,1.9,7,0.5,300,12,0.75,true,TP2
54,c091,14443.84,12449.514285713856,-1994.33,-13.8,22.04,18.067218361708626,12023.42428571391,1043.3585714283763,142.03000000000003,63.005780346820806,90,1.9,8,0.5,300,0,0.5,true,TP2
55,c039,14443.84,12449.514285713856,-1994.33,-13.8,22.04,18.067218361708626,12023.42428571391,1043.3585714283763,142.03000000000003,63.005780346820806,90,1.9,8,0.5,300,0,0.25,false,TP2
56,c063,14392.14,10427.67999999928,-3964.46,-27.5,24.62,19.957749174564256,10080.279999999326,798.9599999998682,115.80000000000013,66.47727272727273,90,2.3,6,0.5,180,0,0.75,true,TP3
57,c021,14340.6,9792.00000000072,-4548.6,-31.7,25.81,20.550739662027194,9404.910000000862,686.5200000000696,129.03000000000006,64.77272727272727,90,2.1,6,0.5,180,0,0.75,false,TP3
58,c126,14059.25,13159.982857142451,-899.27,-6.4,27.23,18.744777963667453,12717.872857142545,1069.4557142855483,147.37000000000015,63.06818181818182,90,1.9,8,0.5,180,0,0.25,false,TP3
59,c024,13555.8,27710.836666665447,14155.04,104.4,27.06,18.118816281202257,27307.66666666547,2101.0266666664684,134.39000000000004,67.04545454545455,90,2.3,7,0.5,180,12,0.75,true,TP3
60,c027,13555.8,31115.303333332064,17559.5,129.5,27.06,19.167008700717314,30697.343333332043,2424.906666666415,139.3199999999999,65.9090909090909,90,2.3,7,0.5,180,24,0.5,false,TP3
61,c147,13555.8,31115.303333332064,17559.5,129.5,27.06,19.167008700717314,30697.343333332043,2424.906666666415,139.3199999999999,65.9090909090909,90,2.3,7,0.5,180,24,0.75,false,TP3
62,c074,13304.53,10682.199999999531,-2622.33,-19.7,25.46,18.680221283185357,10336.359999999388,1109.2542857141088,115.27999999999989,66.47727272727273,90,2.3,8,0.5,180,0,0.25,true,TP3
