rank,id,tick_net,m1_net,disc_m1_minus_tick,disc_pct,tick_dd_pct,m1_dd_pct,m1_net_nobonus,m1_bonus,m1_edge_fixed,m1_closed_lots,m1_winrate,tick_nofill,slm,entries,slgap,maxhold,delay,frac,lock2,final,rr1,rr2,rr3,bb,rsi_buy,rsi_sell
51,c165,-8791.77,-2690.682857147185,6101.09,69.4,63.1,35.27901971822238,-4753.2428571471555,2062.5600000000477,-1224.7328571437101,687.5199999999969,59.0034965034965,466,2.5,8,0.3,180,12,0.75,false,TP2,1,2,4,0.0004,80,20
52,c189,-8996.75,-2408.427142867986,6588.32,73.2,59.32,38.92754278503737,-5329.857142867831,2921.430000000007,322.04285713924764,973.809999999993,54.581151832460726,466,1.9,8,0.5,240,12,0.75,true,TP2,1,2,4,0.0004,100,0
53,c162,-9187.63,20121.45000000039,29309.08,319.0,85.13,36.923227439677284,17408.45999999938,2712.989999999983,3293.740000000231,904.3300000000021,54.5255793616091,466,2.3,6,0.3,240,24,0.75,false,TP2,1.2,2.5,5,0.0004,80,20
54,c108,-9227.6,3738.060000010526,12965.66,140.5,98.66,44.99191151150032,1553.3700000097951,2184.690000000007,1332.3000000005195,728.2300000000025,53.40798442064265,426,2.1,6,0.7,180,12,0.25,false,TP3,1,2,4,0.0008,70,30
55,c007,-9321.85,24808.089999997246,34129.94,366.1,128.35,49.476415690548905,21004.68999999534,3803.400000000003,4536.0899999997055,1267.8000000000054,44.852282900626676,455,1.5,6,0.3,300,24,0.25,false,TP3,1.2,2.5,5,0.0006,80,20
56,c080,-9482.69,-26433.54999999725,-16950.86,-178.8,102.83,56.61411559388301,-28222.659999997217,1789.1100000000376,-7355.499999999462,596.3700000000034,54.916593503072875,463,2.1,8,0.3,180,0,0.25,false,TP3,1,2,4,0.0004,70,30
57,c061,-9730.91,-28909.939999996932,-19179.03,-197.1,83.96,61.25213719737924,-30501.139999997846,1591.1999999999957,-6813.049999999326,530.4000000000108,55.71553228621291,466,2.3,6,0.5,240,0,0.75,true,TP2,1.2,2.5,5,0.0004,80,20
58,c027,-9829.52,-29678.439999995928,-19848.92,-201.9,80.93,62.308988254816,-31435.92999999682,1757.4900000000055,-5459.300000000891,585.830000000005,55.29727313366115,455,2.1,6,0.3,300,0,0.5,true,TP3,1,2,3,0.0006,100,0
59,c178,-9923.37,-30250.734285705337,-20327.36,-204.8,100.54,63.41396200348511,-31899.29428570558,1648.5600000000368,-8644.564285712113,549.520000000008,54.79511769834351,466,2.1,8,0.7,240,0,0.25,false,TP3,1,2,3,0.0004,80,20
60,c146,-9961.11,-30525.143333340133,-20564.03,-206.4,80.68,63.91250140408265,-32377.82333333967,1852.6799999999948,-6088.2600000028615,617.5599999999977,55.0491510277033,455,1.9,7,0.5,300,0,0.25,true,TP3,0.8,1.5,3,0.0006,80,20
61,c186,-10007.93,-30293.499999996748,-20285.57,-202.7,91.64,62.43739884277818,-31633.359999997712,1339.8599999999753,-7732.299999998948,446.62000000001,57.47747747747748,450,2.5,6,0.7,240,0,0.75,true,TP3,1,2,3,0.0006,70,30
62,c137,-10069.9,7558.9000000008455,17628.8,175.1,105.39,37.0206789101683,4043.1699999996163,3515.7299999999996,2381.5700000003417,1171.9100000000035,50.24131274131274,430,1.5,6,0.5,300,12,0.5,true,TP3,1,2,4,0.0008,80,20
63,c174,-10121.26,-32409.943333332165,-22288.68,-220.2,103.36,68.0716963338975,-34340.26333333179,1930.3199999999817,-4478.056666667195,643.4400000000009,48.737864077669904,425,1.5,7,0.7,300,0,0.5,true,TP3,1,2.5,4,0.0008,70,30
64,c132,-10138.85,12258.189999997783,22397.04,220.9,104.17,35.50259617506414,10210.269999996231,2047.9199999999996,1391.8299999993687,682.6400000000068,56.660231660231666,431,2.5,6,0.3,180,12,0.75,true,TP3,1.2,2.5,5,0.0008,100,0
65,c093,-10272.1,3682.069999993342,13954.17,135.8,54.66,34.19725414300116,374.1199999925411,3307.9499999999985,1438.9699999989098,1102.6500000000037,55.15734265734265,466,1.9,6,0.7,300,12,0.25,true,TP2,1,2,3,0.0004,80,20
66,c006,-10276.54,27771.48285712306,38048.02,370.2,99.33,33.76893575257316,24046.08285712373,3725.4000000000096,4793.697142854842,1241.799999999992,54.58534444931987,462,1.9,8,0.3,240,24,0.75,true,TP3,0.8,1.5,3,0.0004,70,30
67,c153,-10391.62,-29666.670000004648,-19275.05,-185.5,112.51,62.66209426191042,-31797.150000004058,2130.4799999999914,-5230.813333334838,710.1600000000008,51.70157068062827,466,1.7,7,0.3,180,0,0.25,true,TP3,1,2.5,4,0.0004,75,25
68,c047,-10895.29,1990.198571425317,12885.49,118.3,68.54,34.16551702367548,-121.65142857489269,2111.850000000049,1069.1757142847782,703.9500000000013,56.227598566308245,455,2.5,8,0.3,300,12,0.5,false,TP2,1.2,2.5,5,0.0006,100,0
