rank,cell,sl_multiplier,trailing_open,trailing_close,max_hold,activation_delay,net_compound,drawdown_pct,edge,oos,passes_dd,beats_netdd,beats_edge,beats_oos,beats_all,win_rate_pct,signals_included,tick_signals,m1_signals
43,tc18_slm16_to07_tc05_mh300_ad1,1.6,0.7,0.5,300,1,938840.64,36.3,17949.9,-910.35,True,False,False,True,False,33.6,3340,2433,907
44,tc18_slm17_to05_tc075_mh300_ad2,1.7,0.5,0.75,300,2,936637.19,29.91,18985.11,-1541.19,True,False,False,False,False,34.3,3340,2433,907
45,tc18_slm17_to05_tc075_mh300_ad1,1.7,0.5,0.75,300,1,920385.56,30.07,18755.44,-1543.5,True,False,False,False,False,34.5,3340,2433,907
46,tc18_slm18_to07_tc075_mh300_ad0,1.8,0.7,0.75,300,0,918990.93,30.62,20162.31,-1271.12,True,False,True,False,False,37.1,3340,2433,907
47,tc18_slm16_to07_tc075_mh300_ad2,1.6,0.7,0.75,300,2,882956.01,35.97,18068.56,-699.93,True,False,False,True,False,33.5,3340,2433,907
48,tc18_slm16_to07_tc075_mh300_ad1,1.6,0.7,0.75,300,1,882065.19,36.19,17601.88,-910.35,True,False,False,True,False,33.6,3340,2433,907
49,tc18_slm17_to07_tc05_mh240_ad2,1.7,0.7,0.5,240,2,858077.02,34.11,20683.82,897.1,True,False,True,True,False,35.5,3340,2416,924
50,tc18_slm18_to05_tc05_mh240_ad2,1.8,0.5,0.5,240,2,853028.07,30.3,22150.83,1176.09,True,False,True,True,False,36.8,3340,2416,924
51,tc18_slm18_to05_tc05_mh240_ad1,1.8,0.5,0.5,240,1,829341.74,30.63,21781.33,1173.78,True,False,True,True,False,36.9,3340,2416,924
52,tc18_slm17_to07_tc05_mh240_ad1,1.7,0.7,0.5,240,1,828617.08,34.36,19995.17,895.07,True,False,True,True,False,35.6,3340,2416,924
53,tc18_slm17_to07_tc075_mh240_ad2,1.7,0.7,0.75,240,2,812923.77,34.36,20329.55,897.1,True,False,True,True,False,35.5,3340,2416,924
54,tc18_slm18_to05_tc075_mh240_ad2,1.8,0.5,0.75,240,2,799783.3,31.17,21778.56,1176.09,True,False,True,True,False,36.8,3340,2416,924
55,tc18_slm17_to07_tc05_mh300_ad2,1.7,0.7,0.5,300,2,798547.16,33.08,18191.97,-830.01,True,False,False,True,False,34.4,3340,2433,907
56,tc18_slm18_to05_tc05_mh300_ad2,1.8,0.5,0.5,300,2,785949.36,28.93,19149.55,-1136.5,True,False,False,False,False,35.6,3340,2433,907
57,tc18_slm18_to05_tc075_mh240_ad1,1.8,0.5,0.75,240,1,783650.96,31.06,21412.31,1173.78,True,False,True,True,False,36.9,3340,2416,924
58,tc18_slm17_to07_tc075_mh240_ad1,1.7,0.7,0.75,240,1,781682.59,34.63,19644.65,895.07,True,False,True,True,False,35.6,3340,2416,924
59,tc18_slm17_to07_tc05_mh300_ad1,1.7,0.7,0.5,300,1,773729.61,32.93,17559.2,-832.04,True,False,False,True,False,34.5,3340,2433,907
60,tc18_slm18_to05_tc05_mh300_ad1,1.8,0.5,0.5,300,1,769121.77,29.04,18797.22,-1138.81,True,False,False,False,False,35.7,3340,2433,907
61,tc18_slm17_to07_tc075_mh300_ad2,1.7,0.7,0.75,300,2,754129.92,33.2,17830.2,-830.01,True,False,False,True,False,34.4,3340,2433,907
62,tc18_slm18_to05_tc075_mh300_ad2,1.8,0.5,0.75,300,2,739813.05,29.06,18770.03,-1136.5,True,False,False,False,False,35.6,3340,2433,907
63,tc18_slm17_to07_tc075_mh300_ad1,1.7,0.7,0.75,300,1,729278.4,33.26,17201.18,-832.04,True,False,False,True,False,34.5,3340,2433,907
64,tc18_slm18_to05_tc075_mh300_ad1,1.8,0.5,0.75,300,1,724819.68,28.94,18420.95,-1138.81,True,False,False,False,False,35.7,3340,2433,907
65,tc18_slm18_to07_tc05_mh240_ad2,1.8,0.7,0.5,240,2,719596.22,30.93,20518.43,915.4,True,False,True,True,False,36.4,3340,2416,924
66,tc18_slm18_to07_tc05_mh240_ad1,1.8,0.7,0.5,240,1,705621.53,31.01,20128.25,913.37,True,False,True,True,False,36.6,3340,2416,924
67,tc18_slm18_to07_tc075_mh240_ad2,1.8,0.7,0.75,240,2,675524.13,30.94,20155.66,915.4,True,False,True,True,False,36.4,3340,2416,924
68,tc18_slm18_to07_tc075_mh240_ad1,1.8,0.7,0.75,240,1,662238.18,31.08,19768.73,913.37,True,False,True,True,False,36.6,3340,2416,924
69,tc18_slm18_to07_tc05_mh300_ad2,1.8,0.7,0.5,300,2,654018.43,29.48,17467.43,-1408.46,True,False,False,False,False,35.3,3340,2433,907
70,tc18_slm18_to07_tc05_mh300_ad1,1.8,0.7,0.5,300,1,645833.3,29.55,17154.59,-1410.49,True,False,False,False,False,35.5,3340,2433,907
71,tc18_slm18_to07_tc075_mh300_ad2,1.8,0.7,0.75,300,2,620026.03,29.55,17097.16,-1408.46,True,False,False,False,False,35.3,3340,2433,907
72,tc18_slm18_to07_tc075_mh300_ad1,1.8,0.7,0.75,300,1,602252.71,29.8,16787.57,-1410.49,True,False,False,False,False,35.5,3340,2433,907
